sample,value
0,0.23126958571721207
1,0.21839132299619732
2,0.18164563903033626
3,0.07804777124806006
4,0.2245939908027131
5,0.2607457482117184
6,0.19860207484819878
7,0.18330035451593843
8,0.18698992658500746
9,0.37285595055412457
10,0.25375385856924204
11,0.25547968084468375
12,0.17836295757382026
13,0.25443049469770096
14,0.14537333982609776
15,0.09434082171652815
16,0.2453899290111392
17,0.13370707511699859
18,0.09392586552882454
19,0.15255022258265172
20,0.34438329834715137
21,0.2618677082071553
22,0.08433327033962316
23,0.09102535514254367
24,0.29049723780437287
25,0.1977523743305286
26,0.2634496669667592
27,0.10408162000450072
28,0.22428370252088936
29,0.15663149570568452
30,0.17719941881878376
31,0.1728908405749163
32,0.2675900920830264
33,0.17767838853001544
34,0.29111564399333284
35,0.12084398538153918
36,0.11018412781687575
37,0.26923276917820893
38,0.3550806034653043
39,0.14438980010941468
40,0.023884676336658528
41,0.10284198237879871
42,0.21241784116097068
43,0.2380541694135353
44,0.32575023824640753
45,0.24981025658000777
46,0.2440302767970176
47,0.2703929261484546
48,0.09764740151781437
49,0.14846923512192461
50,0.2727791662275029
51,0.19426159537451582
52,0.09456055659322428
53,0.21354749396653278
54,0.3835149302617482
55,0.15994952671979434
56,0.19572210524781242
57,0.22215537105872968
58,0.10122298165528013
59,0.1890378111883048
60,0.3117782430181569
61,0.17820345101126073
62,0.09650274689465788
63,0.16658365023062222
64,0.010711008662587562
65,0.22930019828674908
66,0.17166658049461603
67,0.46323830718204995
68,0.3322996769540335
69,0.11423291718583334
70,0.1330215072742345
71,0.16151909068713144
72,0.35823996834067706
73,0.26881586889064313
74,0.1135943334245833
75,0.26965161623975953
76,0.2029093733030991
77,0.27530517037634517
78,0.08101410107875612
79,0.09811238310092629
80,0.2659709807968493
81,0.3201732953862191
82,0.35896889554826894
83,0.1486708875980836
84,0.11619613040068313
85,0.2563332466461794
86,0.13209675908189303
87,0.12691939065564628
88,0.26090733304376
89,0.09758968282892905
90,0.2438775323397362
91,0.31734792947638213
92,0.3277173943173217
93,0.10788417916027893
94,0.11999097028546349
95,0.4688484460390753
96,0.24065518646027306
97,0.14870464501107433
98,0.288473224283361
99,0.14261391955431957
100,0.12049420654693462
101,0.3125931343038194
102,0.07622748291589104
103,0.2150425000527853
104,0.3110558204534719
105,0.23457801767660058
106,0.36139267492592797
107,0.11833511691287146
108,0.28378488073194574
109,0.16705654158807387
110,0.24926210538688903
111,0.08022814272389539
112,0.16523636631307181
