iteration,temperature
0,9.68074585427392E-4
1,0.0019894703601231137
2,0.002975846420470374
3,0.003968935534032406
4,0.0049208241469555795
5,0.005929431087316078
6,0.006985622211168227
7,0.008014628555114785
8,0.009036439345076966
9,0.01008769846922261
10,0.0111805128208023
11,0.012256655427589672
12,0.013347565789641126
13,0.014430870066154169
14,0.015498468411483682
15,0.016609057288397303
16,0.017677980178499184
17,0.01878237092278319
18,0.019904436749471743
19,0.02103268072118951
20,0.022194348266630474
21,0.023301134625529286
22,0.024440773280539098
23,0.02560122302760623
24,0.026730003356204124
25,0.027885678423027253
26,0.029094476352453512
27,0.03032266255932023
28,0.031506377825064456
29,0.03273393831888033
30,0.03396711561976599
31,0.03514286527075656
32,0.036324642640704834
33,0.037590665818716916
34,0.03885237061011609
35,0.040071878796429
36,0.041286898126988825
37,0.0425374239544512
38,0.04378069093850772
39,0.04505788383748769
40,0.04642716298796483
41,0.047801786011654676
42,0.04925695261046131
43,0.0506106498166161
44,0.05196899666489395
45,0.05338227065698454
46,0.05477571076919383
47,0.05609125846222921
48,0.057544742468665915
49,0.05892066915251851
50,0.06041116979387295
51,0.06185528497970396
52,0.06335228931961662
53,0.06488212355548005
54,0.06652796707263488
55,0.0680989026270377
56,0.06961951777524476
57,0.07108537482009047
58,0.07267746454459056
59,0.07438017766945071
60,0.07624388075694123
61,0.07795189160495557
62,0.07967078877747255
63,0.08136801900151584
64,0.08320564964392359
65,0.08503884042929098
66,0.08682435269563267
67,0.08860875592843029
68,0.09050270500276472
69,0.09222136398451056
70,0.09392452588018826
71,0.0957352801700637
72,0.09766557055615119
73,0.09955367444827687
74,0.10156343871114122
75,0.10357199170857842
76,0.10562090181613625
77,0.10767596302221805
78,0.10985357074716784
79,0.11211289313753492
80,0.11407966497666226
81,0.11609886127107912
82,0.11840259141029744
83,0.12078264217434778
84,0.12309938938417282
85,0.12531627556062977
86,0.12755436475197754
87,0.13000204062923565
88,0.13235300140322837
89,0.1347426090060032
90,0.13730397950563275
91,0.1397165998571146
92,0.1423335950131614
93,0.14499058263716086
94,0.14754953646767754
95,0.150220238501199
96,0.15300164605372477
97,0.15580245538154797
98,0.1586060524348687
99,0.16167735726453877
100,0.16461720959904466
101,0.16750400352875042
102,0.17032771111779063
103,0.17326270482318915
104,0.17615622825668004
105,0.1792365701388232
106,0.18228890387121297
107,0.18552173606353262
108,0.1889751683289043
109,0.19257923587174974
110,0.19615209110259482
111,0.199692673084858
112,0.20293552060340816
113,0.20630553771814494
114,0.2102512865529792
115,0.21366029907426187
116,0.217400074727252
117,0.22137916910310668
118,0.22501165734808096
119,0.22885293638236198
120,0.2328947875434022
121,0.23685272553108325
122,0.24037873328357431
123,0.24477252176363581
124,0.24928106199287794
125,0.253708398647203
126,0.2586602495130744
127,0.2628307669472377
128,0.26776773151791616
129,0.2723337731154807
130,0.27671358320106143
131,0.28084809386179327
132,0.28548060827848326
133,0.29084393380850887
134,0.2963599491253005
135,0.30148655056061735
136,0.30670392072241126
137,0.3118452120402204
138,0.3173338855705874
139,0.3222111558362097
140,0.3275244702015065
141,0.33304230271870194
142,0.3387485222549972
143,0.3444723291963263
144,0.3504623693097083
145,0.3569458530886742
146,0.36330195754196937
147,0.3697602640828522
148,0.37543607542426277
149,0.3816328221617728
150,0.38937085463193866
151,0.39652302093022035
152,0.4040745050119202
153,0.4112306565466859
154,0.4203442432615114
155,0.4278706953642143
156,0.43518754883325905
157,0.44336071386474024
158,0.452134414617752
159,0.4608049826864496
160,0.4682537149105088
161,0.4757022436436723
162,0.4840962127832676
163,0.49162774483209537
164,0.49979338676321
165,0.508757436755773
166,0.5181641563943975
167,0.5258525771177137
168,0.53413918798011
169,0.5423951551033095
170,0.5515806746684287
171,0.5605401289617832
172,0.5698504032521536
173,0.5793729232702194
174,0.5894826020726927
175,0.6000075981014793
176,0.6101109080084204
177,0.6205835536695372
178,0.6316431745411252
179,0.6416689972426488
180,0.6525871059438704
181,0.6640594800563479
182,0.6744144185155955
183,0.684921181518325
184,0.696953598220159
185,0.7084680674053085
186,0.7191942201057393
187,0.7326478041234539
188,0.7452460011555148
189,0.757374381797958
190,0.7693135441855159
191,0.7823987582179056
192,0.7947555401334636
193,0.807641978595011
194,0.8208265412212438
195,0.8339566146491285
196,0.8463720557696071
197,0.8598717776235174
198,0.8762995468722513
199,0.8926175378885948
200,0.9071100343729572
201,0.9213736720483642
202,0.9364342110121131
203,0.9515199491469707
204,0.9672530123190486
205,0.9843077988020436
206,1.0
